# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:47:32; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,3519960700,1130860
20,40,13,0
40,60,26,0
60,80,25,0
80,100,27,0
100,120,33,0
120,140,36,0
140,160,25,0
160,180,34,0
180,200,29,0
200,220,50,0
220,240,31,0
240,260,41,0
260,280,37,0
280,300,43,0
300,320,48,0
320,340,45,0
340,360,69,0
360,380,61,0
380,400,68,0
400,420,69,0
420,440,61,0
440,460,73,0
460,480,55,0
480,500,79,0
500,520,67,0
520,540,81,0
540,560,95,0
560,580,91,0
580,600,86,0
600,620,96,0
620,640,102,18
640,660,109,1350519492
660,680,111,1252686
680,700,125,4
700,720,126,0
720,740,114,0
740,760,130,0
760,780,125,0
780,800,121,0
800,820,139,0
820,840,151,0
840,860,146,0
860,880,129,0
880,900,132,0
900,920,127,0
920,940,160,0
940,960,164,0
960,980,194,0
980,1000,172,0
1000,1020,172,0
1020,1040,158,0
1040,1060,180,0
1060,1080,187,0
1080,1100,179,0
1100,1120,216,0
1120,1140,197,0
1140,1160,200,0
1160,1180,189,0
1180,1200,198,0
1200,1220,221,0
1220,1240,214,0
1240,1260,248,0
1260,1280,240,0
1280,1300,225,0
1300,1320,208,0
1320,1340,238,0
1340,1360,263,0
1360,1380,271,0
1380,1400,274,0
1400,1420,255,0
1420,1440,276,0
1440,1460,238,0
1460,1480,267,0
1480,1500,271,0
1500,1520,261,0
1520,1540,288,0
1540,1560,249,0
1560,1580,284,0
1580,1600,295,0
1600,1620,275,0
1620,1640,301,0
1640,1660,323,0
1660,1680,329,0
1680,1700,312,0
1700,1720,298,0
1720,1740,322,0
1740,1760,308,0
1760,1780,338,0
1780,1800,321,0
1800,1820,351,0
1820,1840,297,0
1840,1860,316,0
1860,1880,368,0
1880,1900,327,0
1900,1920,326,0
1920,1940,375,0
1940,1960,356,0
1960,1980,365,0
1980,2000,358,0
2000,2020,342,0
2020,2040,374,0
2040,2060,362,0
2060,2080,380,0
2080,2100,377,0
2100,2120,373,0
2120,2140,378,0
2140,2160,381,0
2160,2180,367,0
2180,2200,383,0
2200,2220,385,0
2220,2240,360,0
2240,2260,379,0
2260,2280,416,0
2280,2300,388,0
2300,2320,354,0
2320,2340,435,0
2340,2360,354,0
2360,2380,407,0
2380,2400,384,0
2400,2420,364,0
2420,2440,363,0
2440,2460,384,0
2460,2480,371,0
2480,2500,397,0
2500,2520,407,0
2520,2540,415,0
2540,2560,430,0
