# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:41:12; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,1189423467,1130860
20,40,3,0
40,60,7,0
60,80,6,0
80,100,4,0
100,120,6,0
120,140,3,0
140,160,5,0
160,180,6,0
180,200,5,0
200,220,13,0
220,240,7,0
240,260,5,0
260,280,10,0
280,300,8,0
300,320,11,0
320,340,11,0
340,360,16,0
360,380,11,0
380,400,12,0
400,420,12,0
420,440,12,0
440,460,13,0
460,480,12,0
480,500,17,0
500,520,12,0
520,540,22,0
540,560,23,0
560,580,21,0
580,600,14,0
600,620,22,0
620,640,24,6
640,660,22,458775765
660,680,21,425928
680,700,29,1
700,720,24,0
720,740,22,0
740,760,22,0
760,780,24,0
780,800,21,0
800,820,32,0
820,840,27,0
840,860,22,0
860,880,25,0
880,900,28,0
900,920,27,0
920,940,29,0
940,960,32,0
960,980,36,0
980,1000,33,0
1000,1020,39,0
1020,1040,31,0
1040,1060,37,0
1060,1080,50,0
1080,1100,38,0
1100,1120,43,0
1120,1140,32,0
1140,1160,42,0
1160,1180,40,0
1180,1200,37,0
1200,1220,41,0
1220,1240,44,0
1240,1260,37,0
1260,1280,39,0
1280,1300,27,0
1300,1320,35,0
1320,1340,41,0
1340,1360,31,0
1360,1380,44,0
1380,1400,48,0
1400,1420,45,0
1420,1440,44,0
1440,1460,38,0
1460,1480,55,0
1480,1500,44,0
1500,1520,43,0
1520,1540,37,0
1540,1560,49,0
1560,1580,54,0
1580,1600,62,0
1600,1620,49,0
1620,1640,60,0
1640,1660,54,0
1660,1680,62,0
1680,1700,49,0
1700,1720,55,0
1720,1740,63,0
1740,1760,57,0
1760,1780,65,0
1780,1800,58,0
1800,1820,61,0
1820,1840,60,0
1840,1860,60,0
1860,1880,65,0
1880,1900,64,0
1900,1920,58,0
1920,1940,74,0
1940,1960,62,0
1960,1980,66,0
1980,2000,70,0
2000,2020,56,0
2020,2040,75,0
2040,2060,60,0
2060,2080,77,0
2080,2100,76,0
2100,2120,67,0
2120,2140,76,0
2140,2160,73,0
2160,2180,73,0
2180,2200,84,0
2200,2220,76,0
2220,2240,75,0
2240,2260,89,0
2260,2280,85,0
2280,2300,69,0
2300,2320,83,0
2320,2340,95,0
2340,2360,81,0
2360,2380,73,0
2380,2400,70,0
2400,2420,68,0
2420,2440,69,0
2440,2460,74,0
2460,2480,64,0
2480,2500,78,0
2500,2520,88,0
2520,2540,96,0
2540,2560,101,0
