# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:42:16; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,1584422892,1130860
20,40,4,0
40,60,8,0
60,80,6,0
80,100,5,0
100,120,8,0
120,140,5,0
140,160,8,0
160,180,6,0
180,200,12,0
200,220,21,0
220,240,11,0
240,260,11,0
260,280,15,0
280,300,13,0
300,320,18,0
320,340,21,0
340,360,26,0
360,380,22,0
380,400,22,0
400,420,26,0
420,440,27,0
440,460,26,0
460,480,29,0
480,500,39,0
500,520,32,0
520,540,40,0
540,560,46,0
560,580,34,0
580,600,32,0
600,620,40,0
620,640,47,6
640,660,38,609886211
660,680,47,565842
680,700,49,1
700,720,54,0
720,740,50,0
740,760,56,0
760,780,46,0
780,800,50,0
800,820,60,0
820,840,63,0
840,860,60,0
860,880,57,0
880,900,67,0
900,920,64,0
920,940,72,0
940,960,79,0
960,980,94,0
980,1000,83,0
1000,1020,96,0
1020,1040,84,0
1040,1060,89,0
1060,1080,103,0
1080,1100,87,0
1100,1120,119,0
1120,1140,88,0
1140,1160,100,0
1160,1180,96,0
1180,1200,99,0
1200,1220,105,0
1220,1240,97,0
1240,1260,119,0
1260,1280,109,0
1280,1300,102,0
1300,1320,93,0
1320,1340,126,0
1340,1360,121,0
1360,1380,123,0
1380,1400,113,0
1400,1420,120,0
1420,1440,124,0
1440,1460,106,0
1460,1480,119,0
1480,1500,133,0
1500,1520,119,0
1520,1540,137,0
1540,1560,115,0
1560,1580,133,0
1580,1600,148,0
1600,1620,128,0
1620,1640,150,0
1640,1660,152,0
1660,1680,149,0
1680,1700,153,0
1700,1720,144,0
1720,1740,161,0
1740,1760,137,0
1760,1780,160,0
1780,1800,152,0
1800,1820,177,0
1820,1840,155,0
1840,1860,177,0
1860,1880,188,0
1880,1900,163,0
1900,1920,160,0
1920,1940,183,0
1940,1960,184,0
1960,1980,174,0
1980,2000,178,0
2000,2020,168,0
2020,2040,183,0
2040,2060,179,0
2060,2080,190,0
2080,2100,199,0
2100,2120,181,0
2120,2140,194,0
2140,2160,194,0
2160,2180,176,0
2180,2200,187,0
2200,2220,199,0
2220,2240,178,0
2240,2260,199,0
2260,2280,219,0
2280,2300,196,0
2300,2320,193,0
2320,2340,211,0
2340,2360,185,0
2360,2380,177,0
2380,2400,199,0
2400,2420,169,0
2420,2440,185,0
2440,2460,187,0
2460,2480,183,0
2480,2500,197,0
2500,2520,206,0
2520,2540,223,0
2540,2560,226,0
