# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:40:08; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,798196934,1130860
20,40,3,0
40,60,6,0
60,80,2,0
80,100,2,0
100,120,2,0
120,140,1,0
140,160,1,0
160,180,4,0
180,200,3,0
200,220,8,0
220,240,3,0
240,260,2,0
260,280,5,0
280,300,5,0
300,320,5,0
320,340,5,0
340,360,10,0
360,380,6,0
380,400,7,0
400,420,6,0
420,440,9,0
440,460,10,0
460,480,10,0
480,500,10,0
500,520,7,0
520,540,16,0
540,560,14,0
560,580,16,0
580,600,8,0
600,620,13,0
620,640,16,3
640,660,12,309293569
660,680,11,287334
680,700,21,0
700,720,16,0
720,740,16,0
740,760,11,0
760,780,22,0
780,800,13,0
800,820,25,0
820,840,17,0
840,860,16,0
860,880,19,0
880,900,21,0
900,920,20,0
920,940,23,0
940,960,26,0
960,980,24,0
980,1000,27,0
1000,1020,27,0
1020,1040,23,0
1040,1060,26,0
1060,1080,38,0
1080,1100,31,0
1100,1120,33,0
1120,1140,29,0
1140,1160,33,0
1160,1180,29,0
1180,1200,27,0
1200,1220,34,0
1220,1240,29,0
1240,1260,25,0
1260,1280,20,0
1280,1300,16,0
1300,1320,21,0
1320,1340,21,0
1340,1360,17,0
1360,1380,22,0
1380,1400,31,0
1400,1420,29,0
1420,1440,30,0
1440,1460,26,0
1460,1480,36,0
1480,1500,24,0
1500,1520,27,0
1520,1540,25,0
1540,1560,30,0
1560,1580,33,0
1580,1600,40,0
1600,1620,29,0
1620,1640,42,0
1640,1660,39,0
1660,1680,38,0
1680,1700,31,0
1700,1720,41,0
1720,1740,43,0
1740,1760,42,0
1760,1780,47,0
1780,1800,40,0
1800,1820,45,0
1820,1840,42,0
1840,1860,43,0
1860,1880,44,0
1880,1900,41,0
1900,1920,39,0
1920,1940,52,0
1940,1960,48,0
1960,1980,38,0
1980,2000,44,0
2000,2020,41,0
2020,2040,51,0
2040,2060,49,0
2060,2080,50,0
2080,2100,53,0
2100,2120,55,0
2120,2140,63,0
2140,2160,59,0
2160,2180,58,0
2180,2200,62,0
2200,2220,53,0
2220,2240,51,0
2240,2260,63,0
2260,2280,57,0
2280,2300,46,0
2300,2320,59,0
2320,2340,69,0
2340,2360,62,0
2360,2380,57,0
2380,2400,50,0
2400,2420,53,0
2420,2440,52,0
2440,2460,52,0
2460,2480,44,0
2480,2500,55,0
2500,2520,62,0
2520,2540,66,0
2540,2560,78,0
