# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:48:37; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,3915069731,1130860
20,40,13,0
40,60,26,0
60,80,26,0
80,100,27,0
100,120,33,0
120,140,36,0
140,160,26,0
160,180,34,0
180,200,30,0
200,220,50,0
220,240,32,0
240,260,41,0
260,280,39,0
280,300,44,0
300,320,49,0
320,340,45,0
340,360,70,0
360,380,61,0
380,400,68,0
400,420,72,0
420,440,62,0
440,460,73,0
460,480,55,0
480,500,79,0
500,520,68,0
520,540,84,0
540,560,98,0
560,580,93,0
580,600,88,0
600,620,97,0
620,640,105,19
640,660,112,1501526596
660,680,114,1393051
680,700,129,4
700,720,132,0
720,740,118,0
740,760,137,0
760,780,132,0
780,800,128,0
800,820,148,0
820,840,155,0
840,860,154,0
860,880,135,0
880,900,144,0
900,920,134,0
920,940,170,0
940,960,172,0
960,980,203,0
980,1000,186,0
1000,1020,176,0
1020,1040,163,0
1040,1060,188,0
1060,1080,197,0
1080,1100,194,0
1100,1120,222,0
1120,1140,207,0
1140,1160,210,0
1160,1180,200,0
1180,1200,208,0
1200,1220,226,0
1220,1240,225,0
1240,1260,254,0
1260,1280,248,0
1280,1300,236,0
1300,1320,219,0
1320,1340,246,0
1340,1360,273,0
1360,1380,282,0
1380,1400,285,0
1400,1420,263,0
1420,1440,285,0
1440,1460,253,0
1460,1480,276,0
1480,1500,285,0
1500,1520,272,0
1520,1540,301,0
1540,1560,260,0
1560,1580,298,0
1580,1600,308,0
1600,1620,284,0
1620,1640,312,0
1640,1660,334,0
1660,1680,335,0
1680,1700,323,0
1700,1720,308,0
1720,1740,332,0
1740,1760,319,0
1760,1780,342,0
1780,1800,333,0
1800,1820,357,0
1820,1840,308,0
1840,1860,322,0
1860,1880,381,0
1880,1900,337,0
1900,1920,337,0
1920,1940,383,0
1940,1960,372,0
1960,1980,377,0
1980,2000,372,0
2000,2020,353,0
2020,2040,382,0
2040,2060,366,0
2060,2080,388,0
2080,2100,390,0
2100,2120,383,0
2120,2140,392,0
2140,2160,393,0
2160,2180,378,0
2180,2200,394,0
2200,2220,393,0
2220,2240,375,0
2240,2260,393,0
2260,2280,426,0
2280,2300,402,0
2300,2320,360,0
2320,2340,449,0
2340,2360,366,0
2360,2380,421,0
2380,2400,395,0
2400,2420,377,0
2420,2440,378,0
2440,2460,398,0
2460,2480,383,0
2480,2500,416,0
2500,2520,417,0
2520,2540,428,0
2540,2560,443,0
