# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:44:20; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,2343099425,1130860
20,40,6,0
40,60,10,0
60,80,12,0
80,100,10,0
100,120,13,0
120,140,11,0
140,160,13,0
160,180,9,0
180,200,14,0
200,220,23,0
220,240,14,0
240,260,16,0
260,280,24,0
280,300,18,0
300,320,25,0
320,340,26,0
340,360,33,0
360,380,30,0
380,400,28,0
400,420,32,0
420,440,33,0
440,460,33,0
460,480,32,0
480,500,44,0
500,520,36,0
520,540,47,0
540,560,53,0
560,580,50,0
580,600,41,0
600,620,53,0
620,640,54,8
640,660,56,900476159
660,680,63,834763
680,700,63,3
700,720,64,0
720,740,64,0
740,760,70,0
760,780,59,0
780,800,66,0
800,820,79,0
820,840,80,0
840,860,77,0
860,880,72,0
880,900,82,0
900,920,79,0
920,940,86,0
940,960,97,0
960,980,117,0
980,1000,97,0
1000,1020,114,0
1020,1040,94,0
1040,1060,106,0
1060,1080,116,0
1080,1100,107,0
1100,1120,142,0
1120,1140,104,0
1140,1160,112,0
1160,1180,108,0
1180,1200,115,0
1200,1220,122,0
1220,1240,118,0
1240,1260,148,0
1260,1280,135,0
1280,1300,121,0
1300,1320,114,0
1320,1340,143,0
1340,1360,144,0
1360,1380,148,0
1380,1400,144,0
1400,1420,141,0
1420,1440,151,0
1440,1460,131,0
1460,1480,151,0
1480,1500,161,0
1500,1520,141,0
1520,1540,167,0
1540,1560,141,0
1560,1580,167,0
1580,1600,174,0
1600,1620,161,0
1620,1640,172,0
1640,1660,178,0
1660,1680,188,0
1680,1700,178,0
1700,1720,175,0
1720,1740,195,0
1740,1760,177,0
1760,1780,200,0
1780,1800,182,0
1800,1820,208,0
1820,1840,189,0
1840,1860,206,0
1860,1880,227,0
1880,1900,201,0
1900,1920,208,0
1920,1940,223,0
1940,1960,218,0
1960,1980,206,0
1980,2000,213,0
2000,2020,199,0
2020,2040,224,0
2040,2060,213,0
2060,2080,220,0
2080,2100,230,0
2100,2120,214,0
2120,2140,242,0
2140,2160,236,0
2160,2180,217,0
2180,2200,219,0
2200,2220,237,0
2220,2240,203,0
2240,2260,232,0
2260,2280,246,0
2280,2300,227,0
2300,2320,229,0
2320,2340,264,0
2340,2360,224,0
2360,2380,229,0
2380,2400,244,0
2400,2420,212,0
2420,2440,224,0
2440,2460,219,0
2460,2480,222,0
2480,2500,235,0
2500,2520,242,0
2520,2540,259,0
2540,2560,260,0
