# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:45:24; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,2735012293,1130860
20,40,7,0
40,60,14,0
60,80,14,0
80,100,15,0
100,120,15,0
120,140,19,0
140,160,17,0
160,180,14,0
180,200,18,0
200,220,27,0
220,240,18,0
240,260,22,0
260,280,30,0
280,300,22,0
300,320,30,0
320,340,30,0
340,360,41,0
360,380,40,0
380,400,34,0
400,420,42,0
420,440,35,0
440,460,40,0
460,480,38,0
480,500,49,0
500,520,40,0
520,540,53,0
540,560,58,0
560,580,56,0
580,600,46,0
600,620,64,0
620,640,63,9
640,660,66,1050256707
660,680,70,973652
680,700,70,4
700,720,69,0
720,740,69,0
740,760,76,0
760,780,64,0
780,800,71,0
800,820,86,0
820,840,89,0
840,860,81,0
860,880,76,0
880,900,89,0
900,920,89,0
920,940,96,0
940,960,104,0
960,980,123,0
980,1000,101,0
1000,1020,116,0
1020,1040,98,0
1040,1060,113,0
1060,1080,126,0
1080,1100,111,0
1100,1120,152,0
1120,1140,119,0
1140,1160,123,0
1160,1180,117,0
1180,1200,128,0
1200,1220,129,0
1220,1240,123,0
1240,1260,157,0
1260,1280,146,0
1280,1300,135,0
1300,1320,120,0
1320,1340,155,0
1340,1360,155,0
1360,1380,160,0
1380,1400,157,0
1400,1420,154,0
1420,1440,166,0
1440,1460,149,0
1460,1480,168,0
1480,1500,178,0
1500,1520,153,0
1520,1540,183,0
1540,1560,153,0
1560,1580,177,0
1580,1600,187,0
1600,1620,169,0
1620,1640,185,0
1640,1660,192,0
1660,1680,201,0
1680,1700,194,0
1700,1720,189,0
1720,1740,209,0
1740,1760,191,0
1760,1780,213,0
1780,1800,203,0
1800,1820,222,0
1820,1840,204,0
1840,1860,225,0
1860,1880,244,0
1880,1900,223,0
1900,1920,224,0
1920,1940,242,0
1940,1960,234,0
1960,1980,228,0
1980,2000,227,0
2000,2020,226,0
2020,2040,241,0
2040,2060,233,0
2060,2080,246,0
2080,2100,250,0
2100,2120,234,0
2120,2140,256,0
2140,2160,255,0
2160,2180,237,0
2180,2200,234,0
2200,2220,255,0
2220,2240,222,0
2240,2260,251,0
2260,2280,266,0
2280,2300,260,0
2300,2320,248,0
2320,2340,290,0
2340,2360,242,0
2360,2380,257,0
2380,2400,258,0
2400,2420,228,0
2420,2440,239,0
2440,2460,238,0
2460,2480,240,0
2480,2500,253,0
2500,2520,263,0
2520,2540,282,0
2540,2560,276,0
