# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:52:41; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,5413246876,1130860
20,40,17,0
40,60,29,0
60,80,29,0
80,100,33,0
100,120,37,0
120,140,39,0
140,160,27,0
160,180,37,0
180,200,41,0
200,220,61,0
220,240,42,0
240,260,48,0
260,280,48,0
280,300,55,0
300,320,63,0
320,340,52,0
340,360,84,0
360,380,74,0
380,400,83,0
400,420,88,0
420,440,79,0
440,460,92,0
460,480,68,0
480,500,104,0
500,520,92,0
520,540,109,0
540,560,113,0
560,580,122,0
580,600,120,0
600,620,128,0
620,640,141,29
640,660,167,2074733636
660,680,152,1925367
680,700,168,4
700,720,167,0
720,740,164,0
740,760,176,0
760,780,197,0
780,800,174,0
800,820,199,0
820,840,205,0
840,860,202,0
860,880,197,0
880,900,197,0
900,920,204,0
920,940,216,0
940,960,228,0
960,980,257,0
980,1000,243,0
1000,1020,230,0
1020,1040,233,0
1040,1060,248,0
1060,1080,257,0
1080,1100,253,0
1100,1120,290,0
1120,1140,277,0
1140,1160,274,0
1160,1180,276,0
1180,1200,287,0
1200,1220,303,0
1220,1240,312,0
1240,1260,312,0
1260,1280,328,0
1280,1300,311,0
1300,1320,303,0
1320,1340,326,0
1340,1360,349,0
1360,1380,367,0
1380,1400,372,0
1400,1420,329,0
1420,1440,381,0
1440,1460,348,0
1460,1480,354,0
1480,1500,362,0
1500,1520,345,0
1520,1540,400,0
1540,1560,345,0
1560,1580,391,0
1580,1600,398,0
1600,1620,381,0
1620,1640,430,0
1640,1660,447,0
1660,1680,443,0
1680,1700,439,0
1700,1720,420,0
1720,1740,443,0
1740,1760,442,0
1760,1780,443,0
1780,1800,446,0
1800,1820,463,0
1820,1840,421,0
1840,1860,421,0
1860,1880,483,0
1880,1900,434,0
1900,1920,436,0
1920,1940,476,0
1940,1960,478,0
1960,1980,486,0
1980,2000,485,0
2000,2020,478,0
2020,2040,488,0
2040,2060,472,0
2060,2080,485,0
2080,2100,494,0
2100,2120,504,0
2120,2140,528,0
2140,2160,528,0
2160,2180,518,0
2180,2200,538,0
2200,2220,516,0
2220,2240,492,0
2240,2260,552,0
2260,2280,560,0
2280,2300,518,0
2300,2320,500,0
2320,2340,589,0
2340,2360,496,0
2360,2380,561,0
2380,2400,524,0
2400,2420,512,0
2420,2440,556,0
2440,2460,545,0
2460,2480,524,0
2480,2500,555,0
2500,2520,574,0
2520,2540,559,0
2540,2560,624,0
