# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:39:03; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,401277992,1130860
20,40,3,0
40,60,5,0
60,80,2,0
80,100,2,0
100,120,2,0
120,140,1,0
140,160,0,0
160,180,1,0
180,200,0,0
200,220,0,0
220,240,0,0
240,260,1,0
260,280,1,0
280,300,0,0
300,320,0,0
320,340,0,0
340,360,1,0
360,380,2,0
380,400,0,0
400,420,2,0
420,440,2,0
440,460,2,0
460,480,1,0
480,500,3,0
500,520,1,0
520,540,0,0
540,560,2,0
560,580,4,0
580,600,2,0
600,620,3,0
620,640,7,2
640,660,3,157238512
660,680,3,145898
680,700,6,0
700,720,6,0
720,740,6,0
740,760,2,0
760,780,10,0
780,800,4,0
800,820,10,0
820,840,6,0
840,860,5,0
860,880,5,0
880,900,8,0
900,920,4,0
920,940,6,0
940,960,6,0
960,980,10,0
980,1000,7,0
1000,1020,5,0
1020,1040,11,0
1040,1060,8,0
1060,1080,18,0
1080,1100,16,0
1100,1120,11,0
1120,1140,16,0
1140,1160,8,0
1160,1180,8,0
1180,1200,9,0
1200,1220,7,0
1220,1240,13,0
1240,1260,4,0
1260,1280,6,0
1280,1300,3,0
1300,1320,5,0
1320,1340,3,0
1340,1360,4,0
1360,1380,3,0
1380,1400,8,0
1400,1420,6,0
1420,1440,12,0
1440,1460,8,0
1460,1480,18,0
1480,1500,7,0
1500,1520,8,0
1520,1540,9,0
1540,1560,11,0
1560,1580,13,0
1580,1600,12,0
1600,1620,9,0
1620,1640,6,0
1640,1660,10,0
1660,1680,8,0
1680,1700,10,0
1700,1720,12,0
1720,1740,7,0
1740,1760,13,0
1760,1780,17,0
1780,1800,8,0
1800,1820,8,0
1820,1840,8,0
1840,1860,10,0
1860,1880,15,0
1880,1900,14,0
1900,1920,16,0
1920,1940,23,0
1940,1960,16,0
1960,1980,17,0
1980,2000,19,0
2000,2020,17,0
2020,2040,20,0
2040,2060,20,0
2060,2080,22,0
2080,2100,26,0
2100,2120,17,0
2120,2140,20,0
2140,2160,21,0
2160,2180,19,0
2180,2200,24,0
2200,2220,30,0
2220,2240,21,0
2240,2260,24,0
2260,2280,22,0
2280,2300,21,0
2300,2320,24,0
2320,2340,29,0
2340,2360,34,0
2360,2380,23,0
2380,2400,24,0
2400,2420,18,0
2420,2440,24,0
2440,2460,26,0
2460,2480,15,0
2480,2500,18,0
2500,2520,20,0
2520,2540,28,0
2540,2560,28,0
