# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:37:58; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
timestamp,dut_count,base_count,dut_min,dut_max,dut_avg,jitter,base_min,base_max,base_avg,base_std,base_total_hist,corrected_avg,corrected_min,corrected_max
1.001,30518463,11589340,197186,201984,153.3929664806514,4798,640,674,650.018442411408,0.6070486847220925,15770172,824.2123268193612,196535.9815575886,201333.9815575886
6.321,63173563,24098450,197186,201984,31.694398288094025,4798,639,674,650.0186110381743,0.6098381409958578,28403574,1096.5198505002872,196535.98138896184,201333.98138896184
11.061,92079132,35167628,197186,202025,26.362278371607587,4839,639,674,650.0186482204309,0.6104396199602027,40247272,1035.0626525925773,196535.98135177957,201374.98135177957
16.160,123306970,47117418,197186,202025,16.348704018921232,4839,639,674,650.0186605169266,0.6106367700532286,52835621,1106.293266088578,196535.98133948309,201374.98133948309
21.919,158634631,60644910,197186,202025,26.13328113708034,4839,639,674,650.0186461546622,0.6104092874357586,66434073,1123.7091644962252,196535.98135384533,201374.98135384533
27.321,191690880,73303440,197186,202025,21.475038035195,4839,639,674,650.0185696338531,0.6091537450272881,78280488,1156.8397753871848,196535.98143036614,201374.98143036614
32.380,222642787,85157626,197186,202025,21.576551379587247,4839,639,675,650.0185219630733,0.6083698862356688,90292805,1156.8398230579646,196535.98147803693,201374.98147803693
37.608,254717432,97440734,197186,202025,8.974559762364438,4839,639,675,650.0185140865193,0.6082390105011686,101684736,1156.8398309345184,196535.98148591348,201374.98148591348
42.426,284174560,108716222,197186,202027,8.339893500670856,4841,639,675,650.0185136667708,0.6082308440226135,112834482,1156.839831354267,196535.98148633324,201376.98148633324
47.093,312766927,119662844,197186,202027,15.104007237312532,4841,639,675,650.0185209534163,0.6083493221836562,124463355,1161.792064004801,196535.98147904658,201376.98147904658
52.029,342970172,131230344,2919,202027,11.891848889413042,199108,639,675,650.0185343078084,0.6085675562173862,135193611,1121.8694324971707,2268.9814656921917,201376.9814656922
56.637,371227755,142048518,2919,202027,12.48966569862213,199108,639,675,650.0185155788245,0.6082595196048722,146878476,1164.7727729874186,2268.9814844211755,201376.98148442118
61.524,401122569,153497356,2919,202027,6.70653899057971,199108,639,675,650.01854008261,0.6086608938703587,157384412,1154.9050073180015,2268.98145991739,201376.98145991738
66.922,434183561,166157237,2919,202027,8.994977711742523,199108,639,675,650.018563245708,0.6090399922065082,170357062,1169.8190551575397,2268.981436754292,201376.9814367543
71.818,464222722,177662372,2919,202027,8.324189504020012,199108,639,675,650.0185565391419,0.6089295869031488,181733241,1181.8261680793055,2268.981443460858,201376.98144346086
76.503,492929108,188658583,2919,202027,5.910296139379134,199108,639,675,650.0185524001241,0.608861296252959,193537223,1124.6451247299206,2268.981447599876,201376.9814475999
81.523,523637268,200416466,2919,202027,8.806737013989615,199108,639,675,650.0185592451596,0.6089731369633343,204500774,1135.8824628097086,2268.98144075484,201376.98144075484
86.603,554855746,212374010,2919,202027,6.426957914210733,199108,639,675,650.0185504757023,0.6088290249785803,216574500,1133.543023361804,2268.9814495242977,201376.9814495243
91.375,583978865,223530682,2919,202027,9.405902604026602,199108,639,675,650.018561847809,0.6090179727152258,229070944,1136.5317871053317,2268.981438152191,201376.9814381522
96.663,616340642,235923462,2919,202027,3.089792113692869,199108,639,675,650.0185424318278,0.6086992583264063,240666383,1136.5318065213128,2268.981457568172,201376.98145756818
101.832,648329294,248218540,2919,202027,6.904550404288843,199108,639,675,650.0185487344996,0.6088022198338544,252407516,1136.531800218641,2268.9814512655003,201376.9814512655
106.722,677922790,259506322,2919,202027,5.721865389714956,199108,639,675,650.0185616946442,0.6090143354523585,263608474,1147.1787039303558,2268.981438305356,201376.98143830535
111.739,708744846,271312616,2919,202027,7.0575012971593445,199108,639,675,650.0185536716948,0.6088825070919724,275473237,1152.6502566176941,2268.981446328305,201376.9814463283
116.452,738061753,282614899,2919,202027,10.96204661481761,199108,639,675,650.0185652068508,0.6090712906186057,286843020,1104.8256970882312,2268.981434793149,201376.98143479315
121.300,767161179,293679176,2919,202030,6.799471619248867,199111,639,675,650.0185653582975,0.6090735199471318,297793337,1073.3617560400676,2268.9814346417024,201379.9814346417
126.337,798034214,305501396,2919,202030,3.4678704539853227,199111,639,675,650.0185625789208,0.6090277181672877,309580906,1080.425294752651,2268.981437421079,201379.98143742108
