# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:49:37; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,4283327132,1130860
20,40,13,0
40,60,26,0
60,80,26,0
80,100,27,0
100,120,33,0
120,140,36,0
140,160,26,0
160,180,34,0
180,200,30,0
200,220,50,0
220,240,32,0
240,260,41,0
260,280,39,0
280,300,44,0
300,320,49,0
320,340,45,0
340,360,70,0
360,380,61,0
380,400,68,0
400,420,72,0
420,440,62,0
440,460,73,0
460,480,55,0
480,500,79,0
500,520,68,0
520,540,84,0
540,560,98,0
560,580,93,0
580,600,88,0
600,620,97,0
620,640,105,23
640,660,112,1642339139
660,680,114,1524209
680,700,129,4
700,720,132,0
720,740,118,0
740,760,137,0
760,780,132,0
780,800,128,0
800,820,148,0
820,840,155,0
840,860,154,0
860,880,136,0
880,900,147,0
900,920,137,0
920,940,174,0
940,960,175,0
960,980,205,0
980,1000,190,0
1000,1020,181,0
1020,1040,167,0
1040,1060,189,0
1060,1080,201,0
1080,1100,196,0
1100,1120,227,0
1120,1140,211,0
1140,1160,212,0
1160,1180,205,0
1180,1200,210,0
1200,1220,230,0
1220,1240,232,0
1240,1260,255,0
1260,1280,251,0
1280,1300,239,0
1300,1320,221,0
1320,1340,250,0
1340,1360,276,0
1360,1380,289,0
1380,1400,292,0
1400,1420,265,0
1420,1440,296,0
1440,1460,260,0
1460,1480,279,0
1480,1500,290,0
1500,1520,279,0
1520,1540,304,0
1540,1560,265,0
1560,1580,306,0
1580,1600,310,0
1600,1620,289,0
1620,1640,321,0
1640,1660,341,0
1660,1680,344,0
1680,1700,329,0
1700,1720,314,0
1720,1740,338,0
1740,1760,328,0
1760,1780,347,0
1780,1800,344,0
1800,1820,364,0
1820,1840,314,0
1840,1860,331,0
1860,1880,388,0
1880,1900,348,0
1900,1920,341,0
1920,1940,389,0
1940,1960,380,0
1960,1980,386,0
1980,2000,380,0
2000,2020,361,0
2020,2040,391,0
2040,2060,370,0
2060,2080,397,0
2080,2100,399,0
2100,2120,397,0
2120,2140,405,0
2140,2160,414,0
2160,2180,392,0
2180,2200,403,0
2200,2220,400,0
2220,2240,382,0
2240,2260,409,0
2260,2280,441,0
2280,2300,412,0
2300,2320,382,0
2320,2340,473,0
2340,2360,381,0
2360,2380,439,0
2380,2400,414,0
2400,2420,400,0
2420,2440,405,0
2440,2460,429,0
2460,2480,406,0
2480,2500,437,0
2500,2520,440,0
2520,2540,445,0
2540,2560,467,0
