# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:50:41; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,4674820895,1130860
20,40,13,0
40,60,27,0
60,80,28,0
80,100,30,0
100,120,36,0
120,140,36,0
140,160,26,0
160,180,35,0
180,200,35,0
200,220,54,0
220,240,35,0
240,260,44,0
260,280,41,0
280,300,44,0
300,320,51,0
320,340,46,0
340,360,72,0
360,380,67,0
380,400,71,0
400,420,72,0
420,440,63,0
440,460,73,0
460,480,56,0
480,500,83,0
500,520,72,0
520,540,92,0
540,560,102,0
560,580,102,0
580,600,95,0
600,620,103,0
620,640,116,25
640,660,127,1792225174
660,680,127,1663363
680,700,140,4
700,720,138,0
720,740,127,0
740,760,144,0
760,780,147,0
780,800,138,0
800,820,155,0
820,840,163,0
840,860,162,0
860,880,149,0
880,900,158,0
900,920,155,0
920,940,181,0
940,960,194,0
960,980,210,0
980,1000,197,0
1000,1020,189,0
1020,1040,174,0
1040,1060,196,0
1060,1080,204,0
1080,1100,206,0
1100,1120,232,0
1120,1140,219,0
1140,1160,223,0
1160,1180,218,0
1180,1200,220,0
1200,1220,239,0
1220,1240,245,0
1240,1260,263,0
1260,1280,264,0
1280,1300,251,0
1300,1320,237,0
1320,1340,263,0
1340,1360,293,0
1360,1380,301,0
1380,1400,313,0
1400,1420,279,0
1420,1440,307,0
1440,1460,281,0
1460,1480,288,0
1480,1500,301,0
1500,1520,292,0
1520,1540,323,0
1540,1560,284,0
1560,1580,319,0
1580,1600,322,0
1600,1620,303,0
1620,1640,343,0
1640,1660,361,0
1660,1680,361,0
1680,1700,349,0
1700,1720,332,0
1720,1740,361,0
1740,1760,352,0
1760,1780,369,0
1780,1800,369,0
1800,1820,387,0
1820,1840,326,0
1840,1860,350,0
1860,1880,402,0
1880,1900,363,0
1900,1920,350,0
1920,1940,401,0
1940,1960,396,0
1960,1980,404,0
1980,2000,400,0
2000,2020,382,0
2020,2040,412,0
2040,2060,388,0
2060,2080,410,0
2080,2100,420,0
2100,2120,411,0
2120,2140,423,0
2140,2160,432,0
2160,2180,415,0
2180,2200,429,0
2200,2220,423,0
2220,2240,402,0
2240,2260,444,0
2260,2280,466,0
2280,2300,429,0
2300,2320,394,0
2320,2340,493,0
2340,2360,398,0
2360,2380,465,0
2380,2400,437,0
2400,2420,415,0
2420,2440,427,0
2440,2460,449,0
2460,2480,429,0
2480,2500,457,0
2500,2520,469,0
2520,2540,465,0
2540,2560,497,0
