# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:46:28; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,3126186011,1130860
20,40,7,0
40,60,14,0
60,80,14,0
80,100,15,0
100,120,18,0
120,140,19,0
140,160,19,0
160,180,16,0
180,200,19,0
200,220,32,0
220,240,20,0
240,260,26,0
260,280,30,0
280,300,27,0
300,320,35,0
320,340,31,0
340,360,46,0
360,380,46,0
380,400,37,0
400,420,45,0
420,440,38,0
440,460,45,0
460,480,40,0
480,500,55,0
500,520,46,0
520,540,56,0
540,560,62,0
560,580,64,0
580,600,50,0
600,620,68,0
620,640,68,15
640,660,69,1199836050
660,680,75,1112025
680,700,76,4
700,720,79,0
720,740,71,0
740,760,82,0
760,780,76,0
780,800,82,0
800,820,96,0
820,840,99,0
840,860,92,0
860,880,83,0
880,900,95,0
900,920,98,0
920,940,113,0
940,960,117,0
960,980,132,0
980,1000,113,0
1000,1020,121,0
1020,1040,107,0
1040,1060,124,0
1060,1080,131,0
1080,1100,121,0
1100,1120,158,0
1120,1140,127,0
1140,1160,128,0
1160,1180,122,0
1180,1200,141,0
1200,1220,142,0
1220,1240,130,0
1240,1260,168,0
1260,1280,154,0
1280,1300,145,0
1300,1320,132,0
1320,1340,165,0
1340,1360,166,0
1360,1380,174,0
1380,1400,176,0
1400,1420,165,0
1420,1440,178,0
1440,1460,157,0
1460,1480,177,0
1480,1500,191,0
1500,1520,169,0
1520,1540,198,0
1540,1560,161,0
1560,1580,183,0
1580,1600,200,0
1600,1620,180,0
1620,1640,198,0
1640,1660,206,0
1660,1680,218,0
1680,1700,211,0
1700,1720,200,0
1720,1740,227,0
1740,1760,206,0
1760,1780,228,0
1780,1800,218,0
1800,1820,234,0
1820,1840,214,0
1840,1860,236,0
1860,1880,253,0
1880,1900,234,0
1900,1920,234,0
1920,1940,268,0
1940,1960,250,0
1960,1980,252,0
1980,2000,248,0
2000,2020,245,0
2020,2040,259,0
2040,2060,258,0
2060,2080,267,0
2080,2100,270,0
2100,2120,253,0
2120,2140,273,0
2140,2160,280,0
2160,2180,258,0
2180,2200,265,0
2200,2220,280,0
2220,2240,243,0
2240,2260,281,0
2260,2280,294,0
2280,2300,286,0
2300,2320,270,0
2320,2340,311,0
2340,2360,265,0
2360,2380,274,0
2380,2400,273,0
2400,2420,248,0
2420,2440,254,0
2440,2460,252,0
2460,2480,264,0
2480,2500,276,0
2500,2520,296,0
2520,2540,306,0
2540,2560,310,0
