# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:43:20; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,1974432366,1130860
20,40,4,0
40,60,9,0
60,80,8,0
80,100,8,0
100,120,9,0
120,140,9,0
140,160,10,0
160,180,7,0
180,200,14,0
200,220,23,0
220,240,12,0
240,260,12,0
260,280,18,0
280,300,15,0
300,320,23,0
320,340,23,0
340,360,30,0
360,380,26,0
380,400,24,0
400,420,30,0
420,440,30,0
440,460,31,0
460,480,32,0
480,500,41,0
500,520,33,0
520,540,43,0
540,560,50,0
560,580,48,0
580,600,39,0
600,620,50,0
620,640,51,8
640,660,54,759111712
660,680,61,704009
680,700,61,2
700,720,63,0
720,740,61,0
740,760,66,0
760,780,54,0
780,800,61,0
800,820,75,0
820,840,77,0
840,860,74,0
860,880,68,0
880,900,80,0
900,920,73,0
920,940,80,0
940,960,90,0
960,980,110,0
980,1000,93,0
1000,1020,108,0
1020,1040,91,0
1040,1060,103,0
1060,1080,113,0
1080,1100,105,0
1100,1120,136,0
1120,1140,102,0
1140,1160,109,0
1160,1180,105,0
1180,1200,113,0
1200,1220,120,0
1220,1240,112,0
1240,1260,138,0
1260,1280,123,0
1280,1300,113,0
1300,1320,103,0
1320,1340,136,0
1340,1360,136,0
1360,1380,139,0
1380,1400,131,0
1400,1420,134,0
1420,1440,138,0
1440,1460,121,0
1460,1480,142,0
1480,1500,152,0
1500,1520,134,0
1520,1540,155,0
1540,1560,130,0
1560,1580,152,0
1580,1600,164,0
1600,1620,147,0
1620,1640,159,0
1640,1660,167,0
1660,1680,169,0
1680,1700,171,0
1700,1720,163,0
1720,1740,177,0
1740,1760,165,0
1760,1780,184,0
1780,1800,168,0
1800,1820,194,0
1820,1840,173,0
1840,1860,189,0
1860,1880,204,0
1880,1900,178,0
1900,1920,184,0
1920,1940,200,0
1940,1960,204,0
1960,1980,195,0
1980,2000,192,0
2000,2020,188,0
2020,2040,203,0
2040,2060,195,0
2060,2080,204,0
2080,2100,217,0
2100,2120,196,0
2120,2140,216,0
2140,2160,212,0
2160,2180,196,0
2180,2200,204,0
2200,2220,212,0
2220,2240,187,0
2240,2260,216,0
2260,2280,232,0
2280,2300,211,0
2300,2320,214,0
2320,2340,238,0
2340,2360,201,0
2360,2380,201,0
2380,2400,223,0
2400,2420,192,0
2420,2440,205,0
2440,2460,209,0
2460,2480,203,0
2480,2500,213,0
2500,2520,218,0
2520,2540,238,0
2540,2560,242,0
